Date,Bank of America Corp,Boeing Co/The,Simon Property Group LP,Citigroup Inc,JPMorgan Chase & Co,International Business Machines Corp,Motorola Solutions Inc,Caterpillar Inc,Nestle SA (EUR),McDonald's Corp
20080321,13.333000000000258,14.000000000000304,27.878999999999902,11.875000000000533,17.000000000000075,16.315000000000115,30.375000000000203,17.458000000000624,5.800000000000638,15.303000000000477
20080324,12.875000000000147,23.091444074736263,74.34983702045658,36.07110998251251,33.03834110626252,20.098804129073663,77.94721818821506,28.36477278217888,5.700000000000351,18.667864912342054
20080325,13.250000000000504,23.11966439182456,86.1208259550658,37.65180083706638,33.75363777149253,21.285386148464287,79.61187680397312,28.964679788637373,34.741,18.790438152854477
20080326,13.250000000000503,38.828,89.40703413887101,155.115,71.20562426811244,44.877,285.203,43.286,36.439,31.753
20080327,13.125000000000238,39.833,91.35398098279131,158.465,34.26585770270524,44.542,285.203,43.286,35.878,31.083
20080328,12.167000000000566,14.333000000000519,26.640999999999984,12.125000000000732,17.500000000000032,17.11100000000002,31.022000000000062,17.620000000000562,39.992,14.808000000000424
20080331,13.000000000000739,14.375000000000204,25.904000000000455,11.500000000000469,16.688000000000315,17.250000000000338,31.016000000000236,17.34300000000036,36.934,14.788000000000139
20080401,13.00000000000007,42.193,25.64000000000014,160.674,17.06300000000002,43.575,286.96,45.61,40.667,26.962
20080402,13.333000000000258,17.874108308735384,26.19000000000019,21.50138397631004,16.87500000000032,18.86543618479702,30.273000000000053,17.485000000000404,87.742,14.902259895096009
20080403,12.750000000000005,18.294469553262566,26.013000000000194,25.132377971615902,16.81300000000019,18.97389231337795,30.45500000000004,17.365000000000506,32.713,15.658810604190082
20080404,12.833000000000311,14.167000000000288,26.634000000000054,11.500000000000464,16.0000000000004,17.13500000000012,30.678000000000164,17.487000000000496,29.112,15.44500000000042
20080407,12.500000000000473,14.000000000000302,26.63499999999985,11.600000000000351,16.50000000000016,17.352000000000615,30.999999999999865,17.2430000000001,28.117,15.463000000000287
20080408,11.167000000000366,18.47882703931913,26.277000000000438,26.05014742266017,16.350000000000108,18.60262560629502,30.750000000000377,17.37000000000056,30.881,15.945629423198154
20080409,12.375000000000316,18.459491392008058,26.62600000000017,25.952095567440818,16.250000000000266,18.36553071247384,30.667000000000105,17.153000000000063,5.917000000000424,16.504841300260125
20080410,12.125000000000734,17.712083376253773,26.271999999999885,24.526706447327616,16.050000000000193,19.225369366645385,30.843000000000124,17.138000000000176,35.393,16.256783603372273
20080411,11.000000000000357,33.587,26.342000000000553,134.413,16.37500000000062,33.755,226.195,37.66,31.883,22.889
20080414,11.688000000000484,16.89515677741207,26.342000000000553,24.893463030315147,16.64300000000025,18.993431265294838,30.95000000000031,17.30700000000063,33.213,15.927886425877894
20080415,12.000000000000322,33.444,25.310000000000006,138.01,16.063000000000315,33.204,229.067,38.3,32.076,23.384
20080416,12.000000000000322,14.167000000000282,25.738000000000447,10.50000000000001,16.313000000000137,18.92500000000029,30.719999999999807,17.218000000000504,29.614,14.768000000000528
20080417,10.833000000000066,14.167000000000286,25.73599999999988,10.37500000000042,16.31300000000014,18.46100000000017,30.32300000000026,17.120000000000537,26.944,14.890000000000551
20080418,12.000000000000322,14.167000000000288,25.73599999999987,10.33300000000012,16.08300000000049,18.45800000000053,30.317000000000412,17.11999999999987,25.312,14.890000000000551
20080421,12.000000000000322,17.55097648472912,24.81700000000006,27.82352057499771,15.875000000000055,19.56731773539044,30.58599999999998,17.312000000000435,23.046,17.281742917607176
20080422,11.875000000000535,17.099104713866776,24.818000000000566,28.399488204678658,15.813000000000246,19.432038811871955,30.2279999999998,17.84300000000004,21.706,17.445116601015883
20080423,11.750000000000535,17.14287529624993,24.82700000000004,28.58957694520666,15.56300000000017,19.43422094238213,30.233000000000164,17.224999999999955,21.871,16.6490471043917
20080424,11.750000000000535,14.125000000000355,24.82299999999993,10.000000000000313,15.563000000000168,17.688000000000418,30.2279999999998,17.223000000000606,23.614,15.347000000000316
20080425,11.667000000000403,13.832999999999961,24.99300000000002,9.833000000000034,15.333000000000311,18.38100000000035,30.585000000000086,17.300000000000562,24.005,15.519999999999877
20080428,11.333000000000084,17.774891656035432,24.871000000000116,32.33702049343506,15.000000000000018,18.116000000000405,30.49700000000016,17.29999999999989,21.165,16.829866165947646
20080429,10.833000000000066,17.80537702501664,24.871000000000123,30.961093975199738,15.000000000000018,18.113000000000007,30.50999999999987,17.303000000000296,22.635,15.523000000000309
20080430,9.25000000000019,26.791,24.875000000000462,78.681,15.249999999999893,25.916,198.931,24.328,20.498,15.581
20080501,11.16700000000037,18.361769443223523,25.374999999999826,43.959808412177864,15.167000000000153,20.0239996939867,30.489999999999906,17.313000000000123,20.165,16.810258952931257
20080502,10.667000000000199,13.832999999999958,25.371000000000226,9.167000000000678,15.167000000000158,18.098000000000404,30.15000000000008,17.313000000000123,17.569,15.523000000000309
20080505,10.50000000000068,17.922154752477034,25.32000000000032,33.20940514167341,15.188000000000521,19.782713308313486,29.781000000000187,17.23800000000035,16.026,16.324484434655126
20080506,10.50000000000001,16.991553897877182,25.32000000000032,27.082230084242106,15.063000000000129,19.194778264487177,29.778000000000112,17.240000000000514,18.191,15.822086890916571
20080507,10.000000000000313,16.76844435222914,25.320000000000316,27.93862877802303,15.063000000000129,18.657773343589838,29.778000000000112,17.23800000000035,20.198,15.632620956972012
20080508,10.125000000000357,13.83299999999996,25.327000000000037,9.000000000000135,15.000000000000018,18.367000000000143,29.552999999999848,17.25000000000033,21.894,15.53300000000013
20080509,9.875000000000528,13.875000000000504,25.322000000000426,9.000000000000135,15.187999999999853,18.365000000000002,29.548000000000005,16.998000000000463,22.158,15.35300000000019
20080512,9.875000000000528,13.750000000000183,25.32199999999975,9.000000000000135,15.188000000000523,18.362999999999925,29.54500000000006,16.998000000000463,21.564,15.353000000000188
20080513,9.875000000000526,15.413390654129175,25.47200000000019,25.028465741044254,15.187999999999851,18.069147740345738,29.70300000000021,17.10000000000055,21.13,16.393145406864726
20080514,10.167000000000284,24.82500000000043,26.443000000000197,25.45240474765998,15.000000000000018,17.607188663577922,29.252000000000344,17.10000000000055,21.597,15.90691849359016
20080515,9.375000000000075,13.750000000000183,25.48300000000007,8.875000000000405,15.187999999999853,18.413000000000288,29.683999999999962,17.11000000000014,20.668,15.410000000000272
20080516,9.500000000000032,13.832999999999961,25.73400000000036,8.833000000000174,15.167000000000156,18.084999999999933,29.787000000000116,17.139999999999986,18.66,15.613000000000312
20080519,9.125000000000515,15.76365676932528,25.480000000000185,32.21900787114579,15.000000000000018,18.084787123343734,29.577999999999975,17.309999999999928,18.092,15.329640049716732
20080520,9.000000000000131,13.66700000000001,25.48199999999995,8.625000000000437,15.000000000000018,18.262000000000544,29.350000000000104,17.108000000000327,19.094,15.410000000000274
20080521,9.125000000000513,13.750000000000183,25.4900000000002,8.750000000000254,15.000000000000018,18.25499999999981,29.33500000000011,16.86800000000025,19.358,15.413000000000208
20080522,9.125000000000517,13.333000000000258,24.988000000000405,8.600000000000428,14.800000000000269,18.074000000000076,29.186000000000103,16.817000000000245,5.167000000000694,15.184000000000502
20080523,9.000000000000133,13.624999999999943,24.655000000000086,8.625000000000439,15.000000000000018,18.000000000000536,29.353000000000474,16.86500000000013,21.856,15.180000000000545
20080526,9.375000000000076,13.000000000000064,24.65700000000037,8.500000000000632,14.800000000000269,18.12499999999994,29.03800000000009,16.24300000000008,22.891,15.146000000000313
20080527,8.667000000000057,13.624999999999941,24.65799999999985,8.625000000000437,15.000000000000018,18.000000000000536,28.98000000000037,16.618000000000283,22.257,15.183000000000117
